Childcare in marrakech| price | Range
Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child	| 1,173.69 MAD |	700.00-1,600.00
International Primary School, Yearly for 1 Child	| 57,749.47 MAD |	48,000.00-65,248.42
