Sports And Leisure in marrakech |Price|Range
Fitness Club, Monthly Fee for 1 Adult | 202.50 MAD |	108.33-350.00
Tennis Court Rent (1 Hour on Weekend) |	296.67 MAD |	290.00-300.00
Cinema, International Release, 1 Seat |	60.00 MAD |	40.00-70.00
